Num,Pub_date,Type_actor,Political_actor,Document,Condensed_function,actor,theme,quote,year,time_bin
26,1997-01-13,Federal Agency,Interagency Grizzly Bear Committee,Grizzly Bear Comeback Prompts Growls of Protest,Executive,Executive,Human_wildlife_conflict,In 1994 and 1995 23 percent of the ecosystems breeding females were killed as a result of run-ins with humans on Public and private land,1997,Before
31,2014-08-14,Federal Agency,Amy Bartlett Yellowstone spokesperson The National Park Service,BEAR DOWN: Grizzly bear euthanized after killing hiker in Yellowstone,Executive,Executive,Recovery_goals,In the 40 years since the listing the grizzlies have made a strong comeback with between 750 and 800 grizzlies now living in the Greater Yellowstone Ecosystem.Qoute from article,2014,After I
31,2014-08-14,Federal Agency,Amy Bartlett Yellowstone spokesperson The National Park Service,BEAR DOWN: Grizzly bear euthanized after killing hiker in Yellowstone,Executive,Executive,Human_wildlife_conflict,Normally a bear would look to neutralize the threat to themselves and their cubs and then retreat. But this bear decided to consume a significant portion of the body.,2014,After I
34,2023-02-03,Federal Agency,U.S. Fish and Wildlife Service,UPDATED: MT pols praise FWS review of grizzly ESA status,Executive,Executive,State_of_science,It’s pretty embarrassing for a multibillion-dollar company to try and save a few nickels on the backs of grizzly bears Servheen said. This plan has been ready to go for years and it’s all been examined in great detail and it lays out what they can do to help offset some of the effects of the railroad by helping fund some of these positions. It’s not a huge financial imposition on them so I can’t understand why they’re trying to avoid responsibility.,2023,Recent
56,2006-05-15,Excutaive Branch,Bush administration Secatary of the Interior,Grizzly bears still need help to survive: [Final Edition],Executive,Executive,Law_detailed,Recently the Bush administration has proposed stripping the Yellowstone grizzly of this protection. The Public comment period ended March 20 (with 250 scientists signing a letter urging continued protection) and now the secretary of interior will decide if the grizzly will be removed from the endangered-species list.,2006,Before
58,2006-05-15,Federal Agency,U.S. Fish and Wildlife Service,Grizzly bears still need help to survive: [Final Edition],Executive,Executive,Law_detailed,The U.S. Fish and Wildlife Service has proposed to helicopter in an occasional female grizzly from Canada or maybe Glacier National Park. But the only long-term solution is to expand the Yellowstone bears range so that they can intermingle with other grizzly populations along the Canadian border.,2006,Before
80,2023-12-31,Excutaive Branch,President Richard Nixon,A great success after 50 years: From spotted owls to Chinook salmon and grizzly bears law protects wildlife on the brink,Executive,Executive,Law_detailed,President Richard Nixon signed the Endangered Species Act into law the U.S. Fish and Wildlife Service included the grizzly on its list of species on the brink. (Qoute from Article),2023,Recent
84,1986-01-22,Federal Agency,Frank Dunkle Fish and Wildlife Service Director and former director of the Montana Department of Fish Wildlife and Parks,Wildlife Official Provokes New Furor on Grizzly Bear: [Metro Edition],Executive,Executive,Law_detailed,announced in early December that he had taken the first step to remove the bears in that region from the protection of the Endangered Species Act (Qoute from article)(Pertinant in two collums),1986,Before
84,1986-01-22,Federal Agency,Frank Dunkle Fish and Wildlife Service Director and former director of the Montana Department of Fish Wildlife and Parks,Wildlife Official Provokes New Furor on Grizzly Bear: [Metro Edition],Executive,Executive,Recovery_goals,announced in early December that he had taken the first step to remove the bears in that region from the protection of the Endangered Species Act (Qoute from article)(Pertinant in two collums),1986,Before
87,2019-09-12,Federal Agency,U.S. Fish and Wildlife Service,NW Montana grizzly deaths spur pushback,Executive,Executive,Law_detailed,Last year the U.S. Fish and Wildlife Service put a hold on plans to possibly remove the NCDE population from protection under the Endangered Species Act based on a federal judge’s opinion involving grizzlies in the Yellowstone National Park ecosystem.,2019,Recent
99,2017-06-21,Federal Agency,Matt Hogan deputy director of the U.S. Fish and Wildlife Service,Living with the grizzly bears: Panel discusses managing growing population in Montana,Executive,Executive,Law_detailed,work still is occurring on coming up with a delisting rule for the NCDE. A delisting rule was proposed for the Yellowstone area in March and a decision is expected soon he said.,2017,During II
107,2014-09-19,Federal Agency,Kerry Gunther biologist Yellowstones bear management program,DELISTING ON THE HORIZON?: Leading bear biologist to give speech on history of Yellowstone grizzlies on Saturday Aug. 23,Executive,Executive,Recovery_goals,The grizzly bears represent a great conservation success story he said. Its important to show that the ESA is working and the bears are ready to be delisted. The population has recovered in numbers and the grizzlies have expanded in range Gunther said. But Im sure there will be lawsuits if they are delisted.,2014,After I
107,2014-09-19,Federal Agency,Kerry Gunther biologist Yellowstones bear management program,DELISTING ON THE HORIZON?: Leading bear biologist to give speech on history of Yellowstone grizzlies on Saturday Aug. 23,Executive,Executive,Human_wildlife_conflict,In an effort to reduce human-bear conflicts they closed garbage dumps in the 1960s Gunther said. After that the grizzlies had a much higher mortality rate.,2014,After I
110,2021-03-31,Federal Agency,Tim Manley Grizzly Bear Management Specialist for Northwest Montana a position he has held since 1993,GRIZZLY GURU: Bear biologist tries to defuse human conflicts with bears,Executive,Executive,Human_wildlife_conflict,According to Manleys most recent grizzly bear management report 279 individual grizzly bears have been captured 475 times under his supervision since 1993. Of those captured bears 161 (58%) are known to have died or were sent to zoos meaning they were permanently removed from the recovery population. Most of the mortalities (35%) have been through management removals meaning the bears engaged in repeated conflicts that led to capture relocation and eventually death as the direct result of a human-related conflict.,2021,Recent
120,2019-01-19,Federal Agency,Kerry Gunther lead bear biologist in Yellowstone National Park,Bear biologist sees human management as major challenge,Executive,Executive,Recovery_goals,We probably reached ecological carrying capacity in the mid- to late-‘90s Gunther said. The population is now pretty stable.,2019,Recent
120,2019-01-19,Federal Agency,Kerry Gunther lead bear biologist in Yellowstone National Park,Bear biologist sees human management as major challenge,Executive,Executive,Human_wildlife_conflict,The rest of the year when bears are roaming the landscape black bears and grizzlies are always top of mind for Gunther who has spent 39 of his 62 years working with bruins in the nation’s first national park.There are so many ways they can come into conflict with people usually at the fault of people and we get called to deal with them Gunther said.,2019,Recent
134,2015-08-22,Federal Agency,Dan Wenk Yellowstone National Park Superintendent,Do Killer Grizzlies Deserve Death?: Federal officials defied their own rules in deciding to kill the mother bear behind this months Yellowstone tragedy. The lives of the endangered species are about to get even cheaper.,Executive,Executive,Human_wildlife_conflict,If bears are trapped and identified as having been involved in the attack the park service said they will be euthanized.In the same press release Park Superintendent Dan Wenk stated: We may not be able to conclusively determine the circumstances of this bear attack but we will not risk Public safety. Apparently the superintendent had already made up his mind.,2015,After I
142,2005-11-16,Interior Secretary,Gale Norton,GRIZZLY BEARS COMEBACK THREATENS ITS PROTECTIONS: [Broward Metro Edition],Executive,Executive,Human_wildlife_conflict,grizzly bear recovery has been a success because of cooperation between state and federal governments biologists and conservation groups.,2005,Before
149,2005-01-09,Federal Agency,Chris Servheen Fish and Wildlifes grizzly bear coordinator,Grizzlies Losing Ground Around Yellowstone; Their death rate has hit a 15-year high and they may be taken off the endangered species list,Executive,Executive,Recovery_goals,the Fish and Wildlife Service contends the grizzlies whose population has more than doubled in the three decades it has been on the list no longer need the special protection afforded by the law.,2005,Before
165,2019-12-17,Federal Agency,Frank von Manen with the U.S. Geological Survey,Scientist: Grizzly bear conflicts will not go away,Executive,Executive,Recovery_goals,He added that despite two years of record-high mortalities for grizzlies in the Northern Continental Divide Ecosystem that population as well as those in the Greater Yellowstone Ecosystem are not in crisis mode.They are biologically recovered and doing well. We’re not seeing biological mortalities that are unsustainable von Manen added.,2019,Recent
165,2019-12-17,Federal Agency,Frank von Manen with the U.S. Geological Survey,Scientist: Grizzly bear conflicts will not go away,Executive,Executive,Human_wildlife_conflict,We should expect conflict and mortality to stay said von Manen a scientist with the U.S. Geological Survey. It will not go away because grizzly bears are too resourceful and with all the challenges grizzly bear managers have despite doing a great job there will always be challenges.,2019,Recent
166,2018-05-03,Federal Agency,U.S. Fish and Wildlife Service,Service reaffirms recovery of Yellowstone grizzly bear under the Endangered Species Act,Executive,Executive,Recovery_goals,After a thorough review of Public comments the Service affirms the decision that the Greater Yellowstone Ecosystem grizzly bear population is recovered and should remain delisted under the ESA.,2018,During II
170,2005-05-25,Federal Agency,Chris Servheen U.S. Fish and Wildlife Service Grizzly Bear Recovery Coordinator,PREDATOR IN THE CROSSHAIRS; With the possible removal of federal protections later this year what comes next for the embattled Great Bear in Idaho?,Executive,Executive,Recovery_goals,Its one of the greatest success stories of the Endangered Species Act Servheen told BW. Weve taken a population we thought we were going to lose 30 years ago and which was under great stress to one that is dramatically reoccupying areas that they havent been in 70 to 100 years.,2005,Before
177,2004-11-03,Federal Agency,Chris Servheen a grizzly bear recovery coordinator for the U.S. Fish and Wildlife Service.,Grizzlies Rebound Endangers Bears as Towns Boom,Executive,Executive,Recovery_goals,In some ways I guess you could say that were victims of our own success in recovering the bear population Servheen said.,2004,Before
177,2004-11-03,Federal Agency,Chris Servheen a grizzly bear recovery coordinator for the U.S. Fish and Wildlife Service.,Grizzlies Rebound Endangers Bears as Towns Boom,Executive,Executive,Human_wildlife_conflict,Because we have more bears today we have more human-bear conflicts. The question now is how to ensure those conflicts are kept to the minimum.,2004,Before
191,2023-08-29,Federal Agency,Frank van Manen wildlife biologist for the IGBST (Interagency Grizzly Bear Study Team),Bear in mind,Executive,Executive,Recovery_goals,This population was listed under the Endangered Species Act in 1975 as threatened van Manen said. There were perhaps fewer than 250 bears in the entire ecosystem at that time. If you look at where we are now we essentially quadrupled that number.Theres no doubt that this stands out in our conservation history as a huge success story.,2023,Recent
191,2023-08-29,Federal Agency,Frank van Manen wildlife biologist for the IGBST (Interagency Grizzly Bear Study Team),Bear in mind,Executive,Executive,Human_wildlife_conflict,This success has also brought challenges van Manen said. As city populations grow and grizzlies expand their ranges more conflicts occur he said whether it be bears getting into peoples trash cans or beehives or even killing livestock.People in this ecosystem have shown that coexistence is possible but we have to very aware van Manen said. If you look at the number of people using this ecosystem and how high the bear population is right now were actually doing really well in my opinion.,2023,Recent
207,2018-03-17,Federal Agency,Chris Servheen recently retired FWS grizzly bear recovery coordinator,People of the bear: Grizzly warriors never give up,Executive,Executive,Human_wildlife_conflict,Servheen’s bigger goal is what he calls social license for the grizzly. If the people with cabins and children and livestock in grizzly country don’t want to share with the bears Servheen argues the laws and policies and research won’t matter. Local society will make the bears go away.,2018,During II
209,2023-05-11,Federal Agency,U.S. Fish and Wildlife Service,IN BRIEF Idaho threatens grizzly bear lawsuit,Executive,Executive,State_of_science,We conclude that the petitioner failed to present credible scientific or commercial information such that a reasonable person conducting an impartial scientific review would conclude that removing the grizzly bear in the lower 48 from the List of Endangered and Threatened Wildlife may be warranted.,2023,Recent
215,2020-07-08,Federal Agency,U.S. Fish and Wildlife Service (USFWS),Barrasso Statement on Federal Court Decision to Place Grizzly Bear Back on ESA List in Wyoming,Executive,Executive,Law_detailed,1) In June of 2017 the U.S. Fish and Wildlife Service removed the grizzly bear in the Greater Yellowstone Ecosystem from the Endangered Species Acts (ESA) list of threatened species. Delisting the grizzly transferred management of the bear to the state of Wyoming. 2) proposed to delist the grizzly bear in the Greater Yellowstone Ecosystem (GYE) from the federal threatened species list.,2020,Recent
215,2020-07-08,Federal Agency,U.S. Fish and Wildlife Service (USFWS),Barrasso Statement on Federal Court Decision to Place Grizzly Bear Back on ESA List in Wyoming,Executive,Executive,Recovery_goals,According to the USFWS The Yellowstone grizzly bear population has rebounded from as few as 136 bears in 1975 to an estimated 700 or more today. Grizzly bears have more than doubled their range since the mid-1970s and now occupy more than 22500 square miles of the ecosystem. Stable population numbers for grizzly bears for more than a decade also indicate that the GYE is at or near its carrying capacity for the bears.,2020,Recent
217,2005-11-15,Excutaive Branch,Gale Norton Interior Secretary,U.S. Fish and Wildlife Service Proposes to Delist Greater Yellowstone Population of Grizzly Bears,Executive,Executive,Recovery_goals,1) After three decades of successful conservation efforts involving federal and state agencies and many other partners the greater Yellowstone population of grizzly bears has recovered and no longer needs the protection of the Endangered Species Act 2) When it was listed in 1975 this majestic animal that greeted Lewis and Clark on their historic expedition stood at risk of disappearing from the American West Norton said. Thanks to the work of many partners more than 600 grizzlies now inhabit the Yellowstone ecosystem and the population is no longer threatened. With a comprehensive conservation strategy ready to be put into place upon delisting we are confident that the future of the grizzly bear in Yellowstone is bright she said. Our grandchildrens grandchildren will see grizzly bears roaming Yellowstone.,2005,Before
218,2005-11-15,Federal Agency,U.S. Fish and Wildlife Service,U.S. Fish and Wildlife Service Proposes to Delist Greater Yellowstone Population of Grizzly Bears,Executive,Executive,Law_detailed,U.S. Fish and Wildlife Service is proposing to remove the Yellowstone population from the list of threatened and endangered species. Four other grizzly populations in the lower 48 states have not yet recovered and will continue to be protected as threatened species under the Act.,2005,Before
219,2014-05-16,Excutaive Branch,Environmental Quality Council,Legislators request update to grizzly bear plan,Executive,Executive,Law_detailed,Votes to send letter requesting Interagency Grizzly Bear Committee to update the 1993 Grizzly Bear Recovery Plan to hasten delisting process,2014,After I
233,2019-09-04,Federal Agency,U.S. Fish and Wildlife Service,Sheep industry wants more grizzly control: Farmers ranchers push for funding for Wildlife Services,Executive,Executive,Law_detailed,In July the U.S. Fish and Wildlife Service relisted the grizzly bear in the Greater Yellowstone Ecosystem.,2019,Recent
238,2024-07-10,Excutaive Branch,Shannon Estenoz Deputy Secretary President Bidens nominee for Department of the Interior (DOI),DAINES PUSHES FOR DELISTING OF GRIZZLY BEAR POPULATION FIVE MONTHS PAST REVIEW DEADLINE,Executive,Executive,Recovery_goals,First of all let me acknowledge that I agree with you 100 percent. Not that my agreement matters because the facts are what they are. The Greater Yellowstone Ecosystem population is recovered. The numbers from 2022 965. Not only that as I said earlier the Northern Continental Divide population is also recovered at more than 1100 bears.,2024,Recent
243,2007-03-13,Federal Agency,U.S. Fish and Wildlife Service,Supplements to the Grizzly Bear Recovery Plan,Executive,Executive,Law_detailed,1) We the Fish and Wildlife Service (Service) announce the availability of two supplements to the Grizzly Bear (Ursus arctos horribilis) Recovery Plan. The supplements appended to the Grizzly Bear Recovery Plan present revised methods to estimate population size and sustainable mortality limits for the Yellowstone grizzly bear population and establish habitat-based recovery criteria for the Yellowstone grizzly bear population. 2) Under the provisions of the Endangered Species Act of 1973 as amended (Act) (16 U.S.C. 1531 et seq.) we approved the first Grizzly Bear Recovery Plan on January 29 1982 (U.S. Fish and Wildlife Service 1982). In 1993 we approved a revision to the Grizzly Bear Recovery Plan (U.S. Fish and Wildlife Service 1993) which included additional tasks and new information that increased the focus and effectiveness of recovery efforts. Supplements to the Recovery Plan were approved in 1997 and 1998 (U.S. Fish and Wildlife Service 1997 1998).,2007,During I
247,2005-01-09,Federal Agency,Chris Servheen Fish and Wildlifes grizzly bear coordinator.,Grizzlies Losing Ground Around Yellowstone; Their death rate has hit a 15-year high and they may be taken off the endangered species list.: [HOME EDITION],Executive,Executive,Recovery_goals,The bears are expanding their numbers and their range. They are now in places they havent been in 80 or 100 years. These mortality rates are to be expected when bears punch out into areas where there are more people.,2005,Before
249,2005-01-09,Excutaive Branch,Bush administration,Grizzlies Losing Ground Around Yellowstone; Their death rate has hit a 15-year high and they may be taken off the endangered species list.: [HOME EDITION],Executive,Executive,Law_detailed,shelved a plan to reintroduce grizzlies in a wilderness area along the Idaho-Montana border despite strong Public sentiment in favor of the move. Many experts believed it would have been a major step in assuring the long-term survival of grizzlies because the isolated Yellowstone bears would have been able to intermingle with the introduced population.,2005,Before
256,2006-01-22,Federal Agency,Chris Servheen the U.S. Fish and Wildlife Services grizzly bear coordinator,Poachers put bite on grizzly recovery,Executive,Executive,Human_wildlife_conflict,A few unscrupulous people can make a difference Servheen said. These are vandal killers and it doesnt take many to damage the program. This is going to set back the population and recovery efforts for some time.,2006,Before
257,2017-11-07,Federal Agency,Frank van Manen Interagency Grizzly Bear Study Team,Grizzlies Moving Toward a Reunion: Yellowstone bears long isolated could soon mingle with their northern cousins,Executive,Executive,Recovery_goals,There is strong scientific evidence that the recovery process that was put into place starting in the mid-1970s has paid off he said. It’s an extraordinary effort for recovery of a species that has the ability to kill people. For the American people to support it is a remarkable achievement.,2017,During II
270,2023-08-05,Federal Agency,Frank van Manen Interagency Grizzly Bear Study Team,Fatal grizzly attack renews debate over how many bears are too many,Executive,Executive,Human_wildlife_conflict,Its totally possible for people and bears to coexist on the landscape. In the greater Yellowstone ecosystem we have shown that that is the case.,2023,Recent
272,1982-08-31,Excutaive Branch,Roland Wauer National Park Service,Bad News Bears: Grizzly Scarcer In Yellowstone: Grizzlies Scarcer in Yellowstone,Executive,Executive,Recovery_goals,Unless some change occurs the probability of retaining this wild species in aYellowstone National Park in minimal,1982,Before
275,2017-06-24,Federal Agency,Hillary Cooley the U.S. Fish and Wildlife Service grizzly bear recovery coordinator,No love for grizzlies: Rocky Mountain Front folks recount trials of living with bears,Executive,Executive,Human_wildlife_conflict,It was really great to be on the ground and see the area talk to those people who are living with bears and hear how they deal with conflict bears. I’ve been hearing about it for a long time but it’s a different thing to see it.,2017,During II
283,2022-03-13,Federal Agency,Frank van Maren Interagency Grizzly Bear Study Team,Wyoming bear relocation report reveals grizzly details,Executive,Executive,Recovery_goals,This figure is up dramatically from an estimated 727 the year before thanks to a revision in the methodology used to estimate grizzly numbers van Manen explained. In the past he said bear managers were conservative in their estimates to ensure bear populations were growing undercounting by around 40% to 45%.This new number reflects enhancement of the technique van Manen said which is backed up by extensive analysis using telemetry of marked bears.Now that we have a biologically recovered population ... its much less of a concern he added.The grizzly bears population structure seems to be pretty stable van Manen said. In the early 2000s bear ages increased but now age classes are relatively well distributed.,2022,Recent
286,2005-01-09,Federal Agency,Chris Servheen the U.S. Fish and Wildlife Service grizzly bear recovery coordinator,Grizzlies Losing Ground Around Yellowstone: Their death rate has hit a 15-year high and they may be taken off the endangered species list,Executive,Executive,Human_wildlife_conflict,The bears are spending their numbers and their range. They are now in places they haven’t been in 80 or 100 years. The mortality rates are to be expected when bears punch out into areas where there are more people.,2005,Before
289,1999-08-20,Federal Agency,Kerry Gunther lead bear biologist in Yellowstone National Park,Grizzly roars back from brink,Executive,Executive,Recovery_goals,Here in Yellowstone National Park grizzlies seem to be everywhere - good news for a famous population of wild bruins that a quarter-century ago seemed headed for a fast extinction.From what Ive observed in the field Id say the Yellowstone grizzly population is the healthiest its been in 16 years says Mr. Gunther known among rangers as the chief bear babysitter.,1999,Before
291,1999-08-20,Federal Agency,Charles Schwartz Yellowstone Interagency Grizzly Bear Study Team,Grizzly roars back from brink,Executive,Executive,Human_wildlife_conflict,says the fate of the grizzly will be determined not by biology but human values.The jury is still out on whether our species will commit itself to sharing space with grizzlies Mr. Schwartz says. Im optimistic. I think society will make the right decision.,1999,Before
297,2005-11-15,Federal Agency,Gale Norton Interior Secretary,US FWS: U.S. Fish and Wildlife Service proposes to delist greater Yellowstone population of grizzly bears,Executive,Executive,Recovery_goals,Thanks to the work of many partners more than 600 grizzlies now inhabit the Yellowstone ecosystem and the population is no longer threatened. With a comprehensive conservation strategy ready to be put into place upon delisting we are confident that the future of the grizzly bear in Yellowstone is bright she said. Our grandchildrens grandchildren will see grizzly bears roaming Yellowstone.,2005,Before
306,2018-09-25,Federal Agency,U.S. Fish and Wildlife Service,Grizzly ruling entangles Montana bears outside of Yellowstone,Executive,Executive,Law_detailed,We stand behind our scientific finding that the Greater Yellowstone Ecosystem grizzly bear is biologically recovered and no longer requires protection under the Endangered Species Act the FWS statement read. Our determination was based on our rigorous interpretation of the law and is supported by the best available science and a comprehensive conservation strategy developed with our federal state and tribal partners. In light of the court’s ruling management of grizzly bears returns to the federal government and we will work with the states and tribes to ensure that this transition proceeds in accordance with the court’s order. The Service will examine this ruling to determine its likely impact on the future of this recovered iconic species. (This qoute is revelant to 4 boxes),2018,During II
306,2018-09-25,Federal Agency,U.S. Fish and Wildlife Service,Grizzly ruling entangles Montana bears outside of Yellowstone,Executive,Executive,Recovery_goals,We stand behind our scientific finding that the Greater Yellowstone Ecosystem grizzly bear is biologically recovered and no longer requires protection under the Endangered Species Act the FWS statement read. Our determination was based on our rigorous interpretation of the law and is supported by the best available science and a comprehensive conservation strategy developed with our federal state and tribal partners. In light of the court’s ruling management of grizzly bears returns to the federal government and we will work with the states and tribes to ensure that this transition proceeds in accordance with the court’s order. The Service will examine this ruling to determine its likely impact on the future of this recovered iconic species. (This qoute is revelant to 4 boxes),2018,During II
320,2010-11-07,Federal Agency,Chuck Schwartz heads the federal Interagency Grizzly Bear Study Team,Outlooks grim for grizzlies in Yellowstone: With milder winters affecting their food and hibernation habits theyre thrown into greater conflict with humans,Executive,Executive,Human_wildlife_conflict,Grizzlies don’t realize that setting up in a subdivision is a bad thing Schwartz said. They perceive it as a suitable habitat—food space and no competition. Why they don’t realize is there’s a lot of people. You can expect to have conflict and bear mortalities—it’s a given when bears and people live in the same area.,2010,During I
327,2007-03-22,Excutaive Branch,Lynn Scarlett Deputy Interior Secretary,Successful Recovery Efforts Bring Yellowstone Grizzly Bears off the Endangered List,Executive,Executive,Law_detailed,After nearly disappearing three decades ago grizzly bears are thriving in the Yellowstone ecosystem and no longer need the protection of the Endangered Species Act Deputy Interior Secretary Lynn Scarlett announced today.,2007,During I
327,2007-03-22,Excutaive Branch,Lynn Scarlett Deputy Interior Secretary,Successful Recovery Efforts Bring Yellowstone Grizzly Bears off the Endangered List,Executive,Executive,Recovery_goals,1) After nearly disappearing three decades ago grizzly bears are thriving in the Yellowstone ecosystem and no longer need the protection of the Endangered Species Act Deputy Interior Secretary Lynn Scarlett announced today. 2) The grizzlys remarkable comeback is the result of years of intensive cooperative recovery efforts between federal and state agencies conservation groups and individuals Scarlett said. There is simply no way to overstate what an amazing accomplishment this is. The grizzly is a large predator that requires a great deal of space and conserving such animals is a challenge in todays world. I believe all Americans should be proud that as a nation we had the will and the ability to protect and restore this symbol of the wild.,2007,During I
339,2018-08-31,Federal Agency,USFWS,Barrasso Statement on Federal Court Decision to Block Grizzly Bear Hunts in Wyoming,Executive,Executive,Law_detailed,On June 30 2017 the USFWS published the final rule to delist the grizzly bear in the GYE.,2018,During II
339,2018-08-31,Federal Agency,USFWS,Barrasso Statement on Federal Court Decision to Block Grizzly Bear Hunts in Wyoming,Executive,Executive,Recovery_goals,1) The Yellowstone grizzly bear population has rebounded from as few as 136 bears in 1975 to an estimated 700 or more today. Grizzly bears have more than doubled their range since the mid-1970s and now occupy more than 22500 square miles of the ecosystem. Stable population numbers for grizzly bears for more than a decade also indicate that the GYE is at or near its carrying capacity for the bears. 2) The participating States of Idaho Montana and Wyoming and Federal agencies have adopted the necessary post-delisting plans and regulations which adequately ensure that the GYE population of grizzly bears remains recovered.,2018,During II
356,2017-06-24,Federal Agency,Hilary Cooley grizzly bear recovery coordinator with the U.S. Fish and Wildlife Service.,THE NATION; U.S. to lift some grizzly protections; Conservationists and tribes decry the move delisting the bear in Yellowstone park.,Executive,Executive,Recovery_goals,She said that in 1975 the grizzly population numbered about 130 -- having being hunted with relative impunity for decades prior. The restrictions and protections put in place by the Endangered Species Act allowed the bear population -- which reproduces at a relatively slow rate -- to climb steadily over the decades.Now with the population more than five times what it was 42 years ago the Fish and Wildlife Service has met recovery criteria Cooley said. Biologists with the agency believe they have given the bears a path forward for sustainability.,2017,During II
